SAMPLE_ID,MPO_Score,Z_AUC 809387,Z_AUC 810089,Z_AUC 809405,Z_AUC average,Z_AUC 840907,Z_AUC 1036743,Z_AUC 803493,Z_AUC 787193,Z_AUC 783779
NCGC00499427,5.5,0.80909355,0.652325244,-0.115624674,0.117960689,0.690920274,-0.562204735,-1.040561577,0.131324725,0.378412708
NCGC00025125,5.5,-1.822726816,-1.126945203,-1.714161699,-0.306721879,-0.948012726,0.520175316,-0.18775669,1.323075211,1.502577575
NCGC00381558,5.5,-0.063717253,-0.18561346,-0.729914418,-0.100722309,-0.19902332,-0.296793927,0.992450328,0.034093601,-0.357260019
NCGC00600330,5.5,-0.629844525,-0.054234144,-0.151834367,0.123875912,0.284807141,0.614435781,0.831961901,0.563249892,-0.467534383
NCGC00689288,5.5,1.158347431,0.883199587,1.13968432,1.133324461,1.078385916,1.31307624,1.023595631,1.196823309,1.273483252
NCGC00159559,5.4,0.767003602,1.209180762,0.423674418,0.892433996,0.472241055,1.119293471,0.923095332,1.134420801,1.090562523
NCGC00090766,5.4,0.68692481,0.629336112,0.92173107,0.679389489,0.714255754,0.46021604,1.056611037,0.07293136,0.893109727
NCGC00510440,5.4,-2.415595075,-1.836819517,-2.449228868,-1.166024825,-1.649970441,0.00075019,0.062038344,-1.21800381,0.178630574
NCGC00087387,5.4,1.231427579,0.85274237,0.3190669,0.827786218,1.097325698,0.919199182,0.873375797,0.491654207,0.837498016
NCGC00164619,5.4,0.434336072,0.525473404,0.384694861,0.238733195,0.501369922,-0.308328448,-0.092166672,-0.156094291,0.62058071
NCGC00346710,5.4,0.864665606,0.235004171,-0.037772016,0.43042104,1.115857618,0.408718092,-0.140984868,0.329671802,0.668207911
NCGC00379032,5.4,0.574123526,0.688077705,-0.08739606,0.799060754,0.476062407,1.04969193,0.952983515,1.293376441,1.445566571
NCGC00015981,5.4,0.872502162,0.724376398,0.653125289,0.650735365,0.453054204,0.786323771,0.716345751,0.414816149,0.585339198
NCGC00346617,5.4,-0.455567948,-0.439070122,-0.463697581,0.040926108,-0.564016304,0.791143626,0.348380174,-0.116079352,1.226316373
NCGC00179302,5.4,0.431825311,0.434195511,0.6577801,0.722546712,0.747767719,0.736598633,0.488337764,1.157610166,1.12625849
NCGC00510692,5.4,-1.153160319,-0.728746238,0.036408117,-0.955098242,-1.052216806,-1.056504673,-1.982160273,-0.815632391,-0.888773353
NCGC00165783,5.4,1.163859924,-0.382541661,0.407794162,0.442589561,-0.277927798,0.393179347,0.920948892,0.606615458,0.708788165
NCGC00015202,5.4,0.701947479,0.82110436,1.031700275,0.880734177,0.387312731,1.018319514,1.091303003,1.240367107,0.753818947
NCGC00390788,5.4,0.767176212,0.680505079,0.750844544,0.849229145,0.762475069,1.013249125,0.848719267,0.980404361,0.9904595
NCGC00016831,5.4,0.846357253,1.018584749,0.573260024,0.838406687,0.88223905,0.779472067,0.920159009,0.736031249,0.951150098
NCGC00689278,5.4,0.664999432,0.879510827,1.269882142,0.623556482,1.358659723,0.594096453,0.077095203,-0.19057899,0.334787068
NCGC00095124,5.4,0.686865957,0.537017029,0.875123269,0.89530925,0.870432492,1.07599775,0.855741825,1.055464123,1.205831559
NCGC00510355,5.4,0.485634918,0.636070251,0.170758569,0.391295302,0.412081228,0.561673028,-0.224247245,0.446945977,0.64144569
NCGC00689304,5.4,0.584757107,0.861725313,1.511244393,0.931386181,0.985281493,1.366585667,0.614978851,1.048589793,0.477926833
